title,price,description,CEP,Município,Bairro
Ótimos Terrenos Comerciais 20.000 m² na MG-010 | Excelente Localização,R$ 370.000,"Terrenos comerciais com áreas a partir de 20.000 m² no distrito de São José do Almeida, Jaboticatubas, às margens da rodovia MG-010. Excelente topografia e toda documentação regularizada.

Financiamento próprio. Consulte condições. PREÇO DE LANÇAMENTO.

Valor: R$ 370.000,00 

ENTRE EM CONTATO PELO WHATSAPP PARA AGENDAMENTOS E MAIS INFORMAÇÕES.

31  whatsapp",35840000,"Almeida, Jaboticatubas",Centro
É chegada a hora!! O mais esperado Lançamento em Lagoa Santa - RTM,R$ 12.000,"Loteamento planinho no Bairro Cidade Jardim, pertinho do centro! Lotes à partir de 360 m², serão entregues com Água encanada, luz, pavimentação, esgoto.
Garanta agora mesmo a sua unidade!!

R$ 12.000,00 de entrada e o restante em até 120 meses.

Valor do anuncio é referente ao valor da entrada.

Mais Informações e agendamentos

Tavares 

31- whatsapp",33400000,Lagoa Santa,
Lindas Fazendinhas 20.000 financiadas em Jaboticatubas - RTM,R$ 25.000,"Texto : Apenas 48 km de BH, lindos terrenos rurais em excelente condição de pagamento, com documentação em dia, ótima localização muito verde ao redor e fácil acesso, venha garantir a sua, Últimas unidades.

Agende sua visita com o Tavares. 

31  WhatsApp

Valor: R$ 25.000,00 e o restante parcelado em até 150 meses.

Valor anunciado referente ao valor da entrada.

Trabalhamos com lotes e terrenos rurais nas seguintes regiões do Vetor Norte : Vespasiano, Pedro Leopoldo, Matozinhos, Funilândia, Jequitibá, Baldim, Lagoa Santa, São José de Almeida, Jaboticatubas, São José da Serra, Santana do Riacho",35830000,Jaboticatubas,
"Oportunidade: Ótimo Lote com 344,80 m² próximo a Ical em São José da Lapa - Venda São José",R$ 120.000,"Código do anúncio: 5368
Oportunidade: Ótimo Lote com 344,80 m² próximo a Ical em São José da Lapa - Venda São José da Lapa
AGENDE SUA VISITA (31) ",33350000,São José da Lapa,
Super terreno no pousada del rey,R$ 210.000,"Terreno de 500 metros com documentação regulamentada, excelente oportunidade para investimento, terreno suporta construção de prédio de até 8 andares.
Vendo para investir em meu negócio",33170180,Santa Luzia,Pousada Del Rey (São Benedito)
Lindos lotes em Condominio Fechado - 1.000m2 - Livre de Barragem - Financio -MVT,R$ 11.455,"Lindos lotes em condomínio fechado próximos a Serra do Cipó, 1000m2, com portaria 24hrs, vias internas asfaltadas, espaços de conveniência agregado ao espaço Gourmet, playground, quadra poliesportiva multiuso. Topografia maravilhosa, financiamento proprio, obras totalmente finalizadas, projetada para te oferecer conforto e segurança. Não anda na terra. Condóminio com  pra Serra do Cipo, Região livre de barragem de minério, à apenas 25km de Lagoa Santa. Não perca esta oportunidade. 

Financiamento próprio em até 156 meses.

Mais informações e Agendamentos Tavares 

31 987-050505 WhatssApp

Valor do anuncio referente ao valor da entrada.

Localização: Vetor Norte, próximo a Matozinhos, Pedro Leopoldo, Prudente de Morais, Funilândia, Baldim, Lagoa Santa, Jaboticatubas, Santana de Pirapama, Santana do Riacho e Conceição do Mato dentro",32041150,Contagem,Três Barras
Condomínio residencial Relva de Prata | Lotes 1.000 m² | Jequitibá - RTM,R$ 11.846,"Condomínio com lotes de 1.000 m², infraestrutura completa, rede elétrica, água e vias asfaltas, além de uma excelente área de lazer. Está liberado para construir e morar.

Localização privilegiada e fácil acesso, na cidade de Jequitibá, próximo de Sete Lagoas.

Financiamento próprio, entrada a partir de 11.846,00 o restante pode ser pago em até 130 parcelas.

Valor anunciado referente ao valor da entrada. 

Para maiores informações e agendamentos Tavares

31- whatsapp",35767000,Jequitibá,
Sitio completo perto de BH sauna campo pomar área gourmet 3qts 2.800 mts,R$ 300.000,"LINDO SÍTIO COMPLETO DE PORTEIRA FECHADA CASA COLONIAL PISCINA 3QTS SUITE BANHEIROS SOCIAIS SALA 2 AMBIENTES ÁREA GOURMET COM CHURRASQUEIRA FOGÃO A LENHA VÁRIAS FRUTÍFERAS PRODUZINDO ( BANANEIRAS,MEXIRICA,LIMÃO,JACA,MANGA,JABUTICABA,ACEROLA,CANA)
ETC, JARDIM JADE FLORES YPE 1 QUARTO DE FERRAMENTAS CANIL TAMANHO DE 2.800 MTS SAUNA POÇO ARTESIANO ( DIVIDIDO COM MAIS 2 PESSOAS ) CASA TODA AVARANDADA CAMPO DE FUTEBOL TOPOGRAFIA QUASE TODA PLANA GARAGEM COBERTA PRA 3 CARROS 2 CARROS DESCOBERTO 
300 TREZENTOS MIL REAIS A VISTA
ACEITO TROCA POR CASA OU APARTAMENTO EM BELO HORIZONTE ,PRA TROCAR CONSIDERAR VALOR DE 330 MIL 
FINANCIO PARTE SOMENTE 30% DO VALOR TOTAL DO SÍTIO  
ACEITO CARRO COMO DA NEGOCIAÇÃO 
SITIO LOCALIZADO EM RAVENA MEIA HORA DE BELO HORIZONTE,SAÍDAS POR SABARÁ,SANTA LUZIA,TAQUARAÇU  DE MINAS,CAETÉ 
VENHA CONHECER ESSA MARAVILHA 

AGENDE SUA VISITA ",30000000,Belo Horizonte,
Lote esperança Ipatinga,R$ 250.000,"Área de esquina aproximadamente 800mts ², com um pomar nós fundos, vários pés de côco ,manga, lichia, laranja ,etc 
Escriturado no bairro esperança Ipatinga
Medidas de 33mts de frente 48 mts fundo 15 de comprimento",35162344,Ipatinga,Esperança
Fazendinha ( com rio peixe e terra preta ) uma hora de Belo Horizonte,R$ 100.000,"31  zap
seu sítio dos sonhos aqui em Taquaracu De Minas 
fazendinha com rio de peixes
terra para cultivo 
vinte mil metros 
imperdível barato
somente venda
200 duzentos mil a vista
financiado com entrada de 50% 
100 cem a vista de entrada e parcelas de 2 dois ou mais mil reais mensais",30000000,Belo Horizonte,
"Terreno 237,98mts a venda oportunidade!",R$ 104.000,"Terreno bem localizado, na avenida principal próximo a supermercados, escolas, igrejas. Bairro em plena expansão e valorização. Terreno espetacular tanto para casa própria como para investimentos",33147150,Santa Luzia,Castanheira
Bairro Portal do Sol em Lagoa Santa,R$ 89.000,"Lote no bairro Portal do Sol, localizado ao lado do bairro Jardim Imperial. Lote registrado no Cartório de Imóveis, medindo 360 m2, ZR2 com excelente topografia e localização. Contato Marconi 031 ",33400000,Lagoa Santa,
"Lote De 1000 m2 - Lagoa Santa - R$ 1.180,00 Mensal - Últimas Unidades - WE",R$ 169.000,"Lote de 1000 metros em bairro nobre de Lagoa Santa com ruas asfaltadas e largas, com meio fio, instalações elétricas e hidráulicas, vizinhança de alto nível, pronto pra construir.

Financia com sinal de 18.400,00 e o restante em até 150 X 1.180,00.

Mais informações e agendamentos, é só ligar para o:

TAVARES 31 987-050505 Whatsapp

VALOR ANUNCIADO PRA PAGAMENTO A VISTA",33400000,Lagoa Santa,
